type,value,startDate,endDate,sleepDurationHours
HKQuantityTypeIdentifierHeartRate,92.0,2024-09-19 20:17:16-04:00,2024-09-19 20:17:16-04:00,
HKQuantityTypeIdentifierHeartRate,95.0,2024-09-19 20:26:00-04:00,2024-09-19 20:26:00-04:00,
HKQuantityTypeIdentifierHeartRate,88.0,2024-09-19 20:29:51-04:00,2024-09-19 20:29:51-04:00,
HKQuantityTypeIdentifierHeartRate,87.0,2024-09-19 20:35:20-04:00,2024-09-19 20:35:20-04:00,
HKQuantityTypeIdentifierHeartRate,94.0,2024-09-19 20:41:25-04:00,2024-09-19 20:41:25-04:00,
HKQuantityTypeIdentifierHeartRate,90.0,2024-09-19 20:46:20-04:00,2024-09-19 20:46:20-04:00,
HKQuantityTypeIdentifierHeartRate,91.0,2024-09-19 20:47:32-04:00,2024-09-19 20:47:32-04:00,
HKQuantityTypeIdentifierHeartRate,95.0,2024-09-19 20:55:43-04:00,2024-09-19 20:55:43-04:00,
HKQuantityTypeIdentifierHeartRate,92.0,2024-09-19 20:59:29-04:00,2024-09-19 20:59:29-04:00,
HKQuantityTypeIdentifierHeartRate,92.0,2024-09-19 21:06:22-04:00,2024-09-19 21:06:22-04:00,
HKQuantityTypeIdentifierHeartRate,84.0,2024-09-19 21:07:35-04:00,2024-09-19 21:07:35-04:00,
HKQuantityTypeIdentifierHeartRate,92.0,2024-09-19 21:14:43-04:00,2024-09-19 21:14:43-04:00,
HKQuantityTypeIdentifierHeartRate,87.0,2024-09-19 21:21:21-04:00,2024-09-19 21:21:21-04:00,
HKQuantityTypeIdentifierHeartRate,92.0,2024-09-19 21:23:50-04:00,2024-09-19 21:23:50-04:00,
HKQuantityTypeIdentifierHeartRate,89.0,2024-09-19 21:27:45-04:00,2024-09-19 21:27:45-04:00,
HKQuantityTypeIdentifierHeartRate,91.0,2024-09-19 21:34:17-04:00,2024-09-19 21:34:17-04:00,
HKQuantityTypeIdentifierHeartRate,94.0,2024-09-19 21:37:05-04:00,2024-09-19 21:37:05-04:00,
HKQuantityTypeIdentifierHeartRate,102.0,2024-09-19 21:45:41-04:00,2024-09-19 21:45:41-04:00,
HKQuantityTypeIdentifierHeartRate,92.0,2024-09-19 21:47:26-04:00,2024-09-19 21:47:26-04:00,
HKQuantityTypeIdentifierHeartRate,92.0,2024-09-19 21:54:04-04:00,2024-09-19 21:54:04-04:00,
HKQuantityTypeIdentifierHeartRate,89.0,2024-09-19 21:58:19-04:00,2024-09-19 21:58:19-04:00,
HKQuantityTypeIdentifierHeartRate,82.0,2024-09-19 22:04:33-04:00,2024-09-19 22:04:33-04:00,
HKQuantityTypeIdentifierHeartRate,83.0,2024-09-19 22:05:25-04:00,2024-09-19 22:05:25-04:00,
HKQuantityTypeIdentifierHeartRate,84.0,2024-09-19 22:09:35-04:00,2024-09-19 22:09:35-04:00,
HKQuantityTypeIdentifierHeartRate,85.0,2024-09-19 22:11:38-04:00,2024-09-19 22:11:38-04:00,
HKQuantityTypeIdentifierHeartRate,88.0,2024-09-19 22:21:12-04:00,2024-09-19 22:21:12-04:00,
HKQuantityTypeIdentifierHeartRate,87.0,2024-09-19 22:23:03-04:00,2024-09-19 22:23:03-04:00,
HKQuantityTypeIdentifierHeartRate,85.0,2024-09-19 22:26:50-04:00,2024-09-19 22:26:50-04:00,
HKQuantityTypeIdentifierHeartRate,87.0,2024-09-19 22:34:55-04:00,2024-09-19 22:34:55-04:00,
HKQuantityTypeIdentifierHeartRate,88.0,2024-09-19 22:37:19-04:00,2024-09-19 22:37:19-04:00,
HKQuantityTypeIdentifierHeartRate,84.0,2024-09-19 22:46:10-04:00,2024-09-19 22:46:10-04:00,
HKQuantityTypeIdentifierHeartRate,82.0,2024-09-19 22:48:05-04:00,2024-09-19 22:48:05-04:00,
HKQuantityTypeIdentifierHeartRate,80.0,2024-09-19 22:54:10-04:00,2024-09-19 22:54:10-04:00,
HKQuantityTypeIdentifierHeartRate,79.77,2024-09-19 22:59:00-04:00,2024-09-19 22:59:00-04:00,
HKQuantityTypeIdentifierHeartRate,78.0,2024-09-19 22:58:24-04:00,2024-09-19 22:58:24-04:00,
HKQuantityTypeIdentifierHeartRate,76.0,2024-09-19 23:02:10-04:00,2024-09-19 23:02:10-04:00,
HKQuantityTypeIdentifierHeartRate,75.0,2024-09-19 23:07:34-04:00,2024-09-19 23:07:34-04:00,
HKQuantityTypeIdentifierHeartRate,75.0,2024-09-19 23:13:44-04:00,2024-09-19 23:13:44-04:00,
HKQuantityTypeIdentifierHeartRate,75.0,2024-09-19 23:16:46-04:00,2024-09-19 23:16:46-04:00,
HKQuantityTypeIdentifierHeartRate,73.0,2024-09-19 23:25:07-04:00,2024-09-19 23:25:07-04:00,
HKQuantityTypeIdentifierHeartRate,80.0,2024-09-19 23:30:35-04:00,2024-09-19 23:30:35-04:00,
HKQuantityTypeIdentifierHeartRate,80.0,2024-09-19 23:32:07-04:00,2024-09-19 23:32:07-04:00,
HKQuantityTypeIdentifierHeartRate,84.0,2024-09-19 23:38:44-04:00,2024-09-19 23:38:44-04:00,
HKQuantityTypeIdentifierHeartRate,81.0,2024-09-19 23:42:49-04:00,2024-09-19 23:42:49-04:00,
HKQuantityTypeIdentifierHeartRate,85.0,2024-09-19 23:48:02-04:00,2024-09-19 23:48:02-04:00,
HKQuantityTypeIdentifierHeartRate,90.0,2024-09-19 23:54:23-04:00,2024-09-19 23:54:23-04:00,
HKQuantityTypeIdentifierHeartRate,86.0,2024-09-19 23:58:39-04:00,2024-09-19 23:58:39-04:00,
HKQuantityTypeIdentifierStepCount,4.0,2024-08-23 00:15:39,2024-08-23 00:15:42,
HKQuantityTypeIdentifierStepCount,20.0,2024-08-23 00:45:19,2024-08-23 00:45:32,
HKQuantityTypeIdentifierStepCount,19.0,2024-08-23 01:16:53,2024-08-23 01:18:44,
HKQuantityTypeIdentifierStepCount,22.0,2024-08-23 02:21:46,2024-08-23 02:21:48,
HKQuantityTypeIdentifierStepCount,5.0,2024-08-23 10:33:03,2024-08-23 10:33:06,
HKQuantityTypeIdentifierStepCount,2.0,2024-08-23 10:58:34,2024-08-23 10:58:36,
HKQuantityTypeIdentifierStepCount,2.0,2024-08-23 11:29:40,2024-08-23 11:29:43,
HKQuantityTypeIdentifierStepCount,70.0,2024-08-23 11:53:30,2024-08-23 12:01:55,
HKQuantityTypeIdentifierStepCount,107.0,2024-08-23 12:09:26,2024-08-23 12:17:20,
HKQuantityTypeIdentifierStepCount,71.0,2024-08-23 12:21:31,2024-08-23 12:25:38,
HKQuantityTypeIdentifierStepCount,14.0,2024-08-23 13:36:23,2024-08-23 13:36:33,
HKQuantityTypeIdentifierStepCount,11.0,2024-08-23 13:53:24,2024-08-23 13:53:26,
HKQuantityTypeIdentifierStepCount,42.0,2024-08-23 14:24:52,2024-08-23 14:25:18,
HKQuantityTypeIdentifierStepCount,48.0,2024-08-23 14:32:33,2024-08-23 14:33:09,
HKQuantityTypeIdentifierStepCount,20.0,2024-08-23 15:20:59,2024-08-23 15:21:09,
HKQuantityTypeIdentifierStepCount,46.0,2024-08-23 16:00:37,2024-08-23 16:02:59,
HKQuantityTypeIdentifierStepCount,31.0,2024-08-23 17:13:04,2024-08-23 17:13:19,
HKQuantityTypeIdentifierStepCount,7.0,2024-08-23 17:48:25,2024-08-23 17:48:32,
HKQuantityTypeIdentifierStepCount,554.0,2024-08-23 17:54:15,2024-08-23 18:04:15,
HKQuantityTypeIdentifierStepCount,599.0,2024-08-23 18:04:15,2024-08-23 18:11:05,
HKQuantityTypeIdentifierStepCount,903.0,2024-08-23 18:11:05,2024-08-23 18:21:06,
HKQuantityTypeIdentifierStepCount,932.0,2024-08-23 18:21:06,2024-08-23 18:30:53,
HKQuantityTypeIdentifierStepCount,820.0,2024-08-23 18:30:53,2024-08-23 18:39:24,
HKQuantityTypeIdentifierStepCount,38.0,2024-08-23 18:40:33,2024-08-23 18:50:29,
HKQuantityTypeIdentifierStepCount,146.0,2024-08-23 20:03:59,2024-08-23 20:06:51,
HKQuantityTypeIdentifierStepCount,8.0,2024-08-23 20:44:13,2024-08-23 20:44:16,
HKQuantityTypeIdentifierStepCount,20.0,2024-08-23 23:03:25,2024-08-23 23:03:28,
HKQuantityTypeIdentifierStepCount,16.0,2024-08-23 23:34:01,2024-08-23 23:34:09,
HKQuantityTypeIdentifierStepCount,94.0,2024-08-24 00:28:50,2024-08-24 00:31:30,
HKQuantityTypeIdentifierStepCount,13.0,2024-08-24 00:49:02,2024-08-24 00:49:10,
HKQuantityTypeIdentifierStepCount,19.0,2024-08-24 01:08:22,2024-08-24 01:08:32,
HKQuantityTypeIdentifierStepCount,4.0,2024-08-24 08:47:42,2024-08-24 08:48:03,
HKQuantityTypeIdentifierStepCount,90.0,2024-08-24 09:38:55,2024-08-24 09:47:28,
HKQuantityTypeIdentifierStepCount,151.0,2024-08-24 09:53:13,2024-08-24 09:59:50,
HKQuantityTypeIdentifierStepCount,30.0,2024-08-24 10:27:07,2024-08-24 10:32:47,
HKQuantityTypeIdentifierStepCount,8.0,2024-08-24 10:38:02,2024-08-24 10:38:05,
HKQuantityTypeIdentifierStepCount,42.0,2024-08-24 11:04:54,2024-08-24 11:05:27,
HKQuantityTypeIdentifierStepCount,388.0,2024-08-24 11:05:27,2024-08-24 11:09:17,
HKQuantityTypeIdentifierStepCount,195.0,2024-08-24 11:22:35,2024-08-24 11:27:01,
HKQuantityTypeIdentifierStepCount,51.0,2024-08-24 11:46:49,2024-08-24 11:56:01,
HKQuantityTypeIdentifierStepCount,22.0,2024-08-24 12:00:21,2024-08-24 12:00:29,
HKQuantityTypeIdentifierStepCount,15.0,2024-08-24 12:17:39,2024-08-24 12:17:45,
HKQuantityTypeIdentifierStepCount,45.0,2024-08-24 12:27:04,2024-08-24 12:27:50,
HKQuantityTypeIdentifierStepCount,52.0,2024-08-24 12:40:18,2024-08-24 12:43:21,
HKQuantityTypeIdentifierStepCount,31.0,2024-08-24 12:51:02,2024-08-24 12:51:18,
HKQuantityTypeIdentifierStepCount,32.0,2024-08-24 13:15:32,2024-08-24 13:17:25,
HKQuantityTypeIdentifierStepCount,170.0,2024-08-24 13:21:56,2024-08-24 13:29:40,
HKQuantityTypeIdentifierStepCount,159.0,2024-08-24 13:31:26,2024-08-24 13:34:24,
HKQuantityTypeIdentifierStepCount,345.0,2024-08-24 14:25:56,2024-08-24 14:34:18,
HKQuantityTypeIdentifierStepCount,616.0,2024-08-24 14:40:11,2024-08-24 14:49:59,
HKQuantityTypeIdentifierStepCount,123.0,2024-08-24 14:49:59,2024-08-24 14:51:14,
HKQuantityTypeIdentifierStepCount,864.0,2024-08-24 14:53:51,2024-08-24 15:02:40,
HKQuantityTypeIdentifierStepCount,10.0,2024-08-24 15:27:55,2024-08-24 15:29:46,
HKQuantityTypeIdentifierStepCount,4.0,2024-08-24 15:33:12,2024-08-24 15:33:15,
HKQuantityTypeIdentifierStepCount,8.0,2024-08-24 15:37:28,2024-08-24 15:37:30,
HKQuantityTypeIdentifierStepCount,71.0,2024-08-24 16:17:23,2024-08-24 16:18:27,
HKQuantityTypeIdentifierStepCount,145.0,2024-08-24 19:04:19,2024-08-24 19:06:38,
HKQuantityTypeIdentifierStepCount,75.0,2024-08-24 20:38:38,2024-08-24 20:43:24,
HKQuantityTypeIdentifierStepCount,29.0,2024-08-24 22:36:21,2024-08-24 22:36:39,
HKQuantityTypeIdentifierStepCount,39.0,2024-08-24 23:54:33,2024-08-24 23:56:01,
HKQuantityTypeIdentifierStepCount,64.0,2024-08-25 01:15:02,2024-08-25 01:20:16,
HKQuantityTypeIdentifierStepCount,47.0,2024-08-25 01:49:18,2024-08-25 01:50:02,
HKQuantityTypeIdentifierStepCount,2.0,2024-08-25 10:57:37,2024-08-25 10:57:39,
HKQuantityTypeIdentifierStepCount,140.0,2024-08-25 11:45:56,2024-08-25 11:55:15,
HKQuantityTypeIdentifierStepCount,46.0,2024-08-25 12:03:53,2024-08-25 12:04:40,
HKQuantityTypeIdentifierStepCount,15.0,2024-08-25 12:11:53,2024-08-25 12:11:58,
HKQuantityTypeIdentifierStepCount,26.0,2024-08-25 12:49:32,2024-08-25 12:49:45,
HKQuantityTypeIdentifierStepCount,19.0,2024-08-25 13:09:03,2024-08-25 13:09:15,
HKQuantityTypeIdentifierStepCount,14.0,2024-08-25 13:09:15,2024-08-25 13:09:26,
HKQuantityTypeIdentifierStepCount,88.0,2024-08-25 13:24:04,2024-08-25 13:30:17,
HKQuantityTypeIdentifierStepCount,34.0,2024-08-25 14:46:21,2024-08-25 14:54:26,
HKQuantityTypeIdentifierStepCount,35.0,2024-08-25 16:50:17,2024-08-25 16:52:46,
HKQuantityTypeIdentifierStepCount,91.0,2024-08-25 17:51:07,2024-08-25 17:59:01,
HKQuantityTypeIdentifierStepCount,91.0,2024-08-25 18:38:32,2024-08-25 18:41:06,
HKQuantityTypeIdentifierStepCount,8.0,2024-08-25 19:31:35,2024-08-25 19:31:37,
HKQuantityTypeIdentifierStepCount,561.0,2024-08-25 20:00:57,2024-08-25 20:10:58,
HKQuantityTypeIdentifierStepCount,740.0,2024-08-25 20:10:58,2024-08-25 20:20:30,
HKQuantityTypeIdentifierStepCount,757.0,2024-08-25 20:20:30,2024-08-25 20:27:22,
HKQuantityTypeIdentifierStepCount,25.0,2024-08-25 20:27:53,2024-08-25 20:28:11,
HKQuantityTypeIdentifierStepCount,31.0,2024-08-25 21:27:53,2024-08-25 21:29:43,
HKQuantityTypeIdentifierStepCount,27.0,2024-08-25 22:37:42,2024-08-25 22:37:50,
HKQuantityTypeIdentifierStepCount,41.0,2024-08-25 22:42:13,2024-08-25 22:43:15,
HKQuantityTypeIdentifierStepCount,63.0,2024-08-25 22:52:26,2024-08-25 23:02:22,
HKQuantityTypeIdentifierStepCount,54.0,2024-08-25 23:03:11,2024-08-25 23:09:02,
HKQuantityTypeIdentifierStepCount,44.0,2024-08-25 23:28:22,2024-08-25 23:35:54,
HKQuantityTypeIdentifierStepCount,17.0,2024-08-26 00:16:06,2024-08-26 00:17:38,
HKQuantityTypeIdentifierStepCount,31.0,2024-08-26 01:19:44,2024-08-26 01:20:46,
HKQuantityTypeIdentifierStepCount,10.0,2024-08-26 09:25:18,2024-08-26 09:25:26,
HKQuantityTypeIdentifierStepCount,124.0,2024-08-26 09:47:43,2024-08-26 09:55:48,
HKQuantityTypeIdentifierStepCount,170.0,2024-08-26 10:02:20,2024-08-26 10:04:31,
HKQuantityTypeIdentifierStepCount,806.0,2024-08-26 10:32:34,2024-08-26 10:42:35,
HKQuantityTypeIdentifierStepCount,952.0,2024-08-26 10:42:35,2024-08-26 10:52:36,
HKQuantityTypeIdentifierStepCount,881.0,2024-08-26 10:52:36,2024-08-26 11:02:36,
HKQuantityTypeIdentifierStepCount,571.0,2024-08-26 11:02:36,2024-08-26 11:09:39,
HKQuantityTypeIdentifierStepCount,552.0,2024-08-26 11:15:48,2024-08-26 11:25:48,
HKQuantityTypeIdentifierStepCount,1041.0,2024-08-26 11:25:48,2024-08-26 11:35:49,
HKQuantityTypeIdentifierStepCount,1084.0,2024-08-26 11:35:49,2024-08-26 11:45:49,
HKQuantityTypeIdentifierStepCount,1060.0,2024-08-26 11:45:49,2024-08-26 11:55:50,
HKQuantityTypeIdentifierStepCount,379.0,2024-08-26 11:55:50,2024-08-26 11:59:19,
HKQuantityTypeIdentifierStepCount,8.0,2024-08-26 12:04:51,2024-08-26 12:04:54,
HKQuantityTypeIdentifierStepCount,67.0,2024-08-26 12:16:17,2024-08-26 12:20:04,
HKQuantityTypeIdentifierStepCount,8.0,2024-08-26 12:28:36,2024-08-26 12:28:39,
HKQuantityTypeIdentifierStepCount,69.0,2024-08-26 12:46:22,2024-08-26 12:47:11,
HKQuantityTypeIdentifierStepCount,275.0,2024-08-26 12:59:57,2024-08-26 13:05:22,
HKQuantityTypeIdentifierStepCount,77.0,2024-08-26 13:05:22,2024-08-26 13:07:02,
HKQuantityTypeIdentifierStepCount,42.0,2024-08-26 13:16:16,2024-08-26 13:17:31,
HKQuantityTypeIdentifierStepCount,50.0,2024-08-26 14:59:05,2024-08-26 15:04:56,
HKQuantityTypeIdentifierStepCount,121.0,2024-08-26 16:10:41,2024-08-26 16:18:25,
HKQuantityTypeIdentifierStepCount,222.0,2024-08-26 16:22:22,2024-08-26 16:31:08,
HKQuantityTypeIdentifierStepCount,161.0,2024-08-26 16:35:44,2024-08-26 16:42:03,
HKQuantityTypeIdentifierStepCount,11.0,2024-08-26 17:57:56,2024-08-26 17:58:01,
HKQuantityTypeIdentifierStepCount,48.0,2024-08-26 18:36:00,2024-08-26 18:36:28,
HKQuantityTypeIdentifierStepCount,41.0,2024-08-26 18:46:47,2024-08-26 18:47:15,
HKQuantityTypeIdentifierStepCount,122.0,2024-08-26 18:58:46,2024-08-26 19:03:32,
HKQuantityTypeIdentifierStepCount,2.0,2024-08-26 19:23:09,2024-08-26 19:23:11,
HKQuantityTypeIdentifierStepCount,5.0,2024-08-26 19:54:03,2024-08-26 19:54:05,
HKQuantityTypeIdentifierStepCount,24.0,2024-08-26 21:37:18,2024-08-26 21:38:43,
HKQuantityTypeIdentifierStepCount,14.0,2024-08-26 22:25:20,2024-08-26 22:25:25,
HKQuantityTypeIdentifierStepCount,99.0,2024-08-26 22:27:46,2024-08-26 22:30:39,
HKQuantityTypeIdentifierStepCount,10.0,2024-08-26 23:38:14,2024-08-26 23:38:45,
HKQuantityTypeIdentifierStepCount,64.0,2024-08-26 23:58:38,2024-08-27 00:07:20,
HKQuantityTypeIdentifierStepCount,3.0,2024-08-27 00:09:29,2024-08-27 00:09:34,
HKQuantityTypeIdentifierStepCount,61.0,2024-08-27 01:38:01,2024-08-27 01:42:19,
HKQuantityTypeIdentifierStepCount,9.0,2024-08-27 10:27:58,2024-08-27 10:37:21,
HKQuantityTypeIdentifierStepCount,6.0,2024-08-27 11:23:00,2024-08-27 11:23:03,
HKQuantityTypeIdentifierStepCount,104.0,2024-08-27 11:48:24,2024-08-27 11:51:14,
HKQuantityTypeIdentifierStepCount,72.0,2024-08-27 12:17:19,2024-08-27 12:21:56,
HKQuantityTypeIdentifierStepCount,80.0,2024-08-27 13:50:33,2024-08-27 13:52:39,
HKQuantityTypeIdentifierStepCount,100.0,2024-08-27 14:13:06,2024-08-27 14:22:39,
HKQuantityTypeIdentifierStepCount,115.0,2024-08-27 14:31:12,2024-08-27 14:32:31,
HKQuantityTypeIdentifierStepCount,61.0,2024-08-27 14:41:09,2024-08-27 14:50:08,
HKQuantityTypeIdentifierStepCount,202.0,2024-08-27 14:58:05,2024-08-27 15:08:03,
HKQuantityTypeIdentifierStepCount,389.0,2024-08-27 15:08:08,2024-08-27 15:16:18,
HKQuantityTypeIdentifierStepCount,35.0,2024-08-27 15:29:00,2024-08-27 15:30:17,
HKQuantityTypeIdentifierStepCount,57.0,2024-08-27 16:13:56,2024-08-27 16:21:56,
HKQuantityTypeIdentifierStepCount,275.0,2024-08-27 16:23:21,2024-08-27 16:32:58,
HKQuantityTypeIdentifierStepCount,128.0,2024-08-27 16:34:08,2024-08-27 16:43:52,
HKQuantityTypeIdentifierStepCount,43.0,2024-08-27 16:44:16,2024-08-27 16:54:07,
HKQuantityTypeIdentifierStepCount,77.0,2024-08-27 16:54:18,2024-08-27 16:57:46,
HKQuantityTypeIdentifierStepCount,81.0,2024-08-27 17:14:21,2024-08-27 17:23:54,
HKQuantityTypeIdentifierStepCount,18.0,2024-08-27 17:28:28,2024-08-27 17:28:31,
HKQuantityTypeIdentifierStepCount,18.0,2024-08-27 17:51:23,2024-08-27 17:51:28,
HKQuantityTypeIdentifierStepCount,32.0,2024-08-27 18:19:44,2024-08-27 18:20:02,
HKQuantityTypeIdentifierStepCount,87.0,2024-08-27 22:19:15,2024-08-27 22:20:37,
HKQuantityTypeIdentifierStepCount,15.0,2024-08-27 22:30:43,2024-08-27 22:30:51,
HKQuantityTypeIdentifierStepCount,53.0,2024-08-27 22:31:50,2024-08-27 22:33:44,
HKQuantityTypeIdentifierStepCount,35.0,2024-08-27 23:26:50,2024-08-27 23:35:42,
HKQuantityTypeIdentifierStepCount,204.0,2024-08-27 23:39:37,2024-08-27 23:49:22,
HKQuantityTypeIdentifierStepCount,27.0,2024-08-27 23:58:32,2024-08-27 23:59:21,
HKQuantityTypeIdentifierStepCount,13.0,2024-08-28 00:14:43,2024-08-28 00:14:48,
HKQuantityTypeIdentifierStepCount,24.0,2024-08-28 00:27:58,2024-08-28 00:28:11,
HKQuantityTypeIdentifierStepCount,7.0,2024-08-28 00:39:32,2024-08-28 00:39:34,
HKQuantityTypeIdentifierStepCount,46.0,2024-08-28 10:48:57,2024-08-28 10:57:58,
HKQuantityTypeIdentifierStepCount,25.0,2024-08-28 11:00:38,2024-08-28 11:00:51,
HKQuantityTypeIdentifierStepCount,34.0,2024-08-28 11:45:38,2024-08-28 11:52:35,
HKQuantityTypeIdentifierStepCount,22.0,2024-08-28 12:20:32,2024-08-28 12:25:10,
HKQuantityTypeIdentifierStepCount,15.0,2024-08-28 12:34:47,2024-08-28 12:34:52,
HKQuantityTypeIdentifierStepCount,130.0,2024-08-28 13:08:52,2024-08-28 13:11:19,
HKQuantityTypeIdentifierStepCount,28.0,2024-08-28 13:16:05,2024-08-28 13:16:31,
HKQuantityTypeIdentifierStepCount,654.0,2024-08-28 13:24:33,2024-08-28 13:34:31,
HKQuantityTypeIdentifierStepCount,82.0,2024-08-28 13:35:25,2024-08-28 13:37:14,
HKQuantityTypeIdentifierStepCount,54.0,2024-08-28 13:48:57,2024-08-28 13:49:31,
HKQuantityTypeIdentifierStepCount,288.0,2024-08-28 13:49:31,2024-08-28 13:59:31,
HKQuantityTypeIdentifierStepCount,651.0,2024-08-28 13:59:31,2024-08-28 14:09:32,
HKQuantityTypeIdentifierStepCount,484.0,2024-08-28 14:09:32,2024-08-28 14:19:20,
HKQuantityTypeIdentifierStepCount,331.0,2024-08-28 14:19:33,2024-08-28 14:29:23,
HKQuantityTypeIdentifierStepCount,213.0,2024-08-28 14:29:46,2024-08-28 14:39:47,
HKQuantityTypeIdentifierStepCount,481.0,2024-08-28 14:40:12,2024-08-28 14:50:13,
HKQuantityTypeIdentifierStepCount,13.0,2024-08-28 14:50:13,2024-08-28 14:50:21,
HKQuantityTypeIdentifierStepCount,653.0,2024-08-28 14:50:21,2024-08-28 15:00:06,
HKQuantityTypeIdentifierStepCount,730.0,2024-08-28 15:00:27,2024-08-28 15:10:27,
HKQuantityTypeIdentifierStepCount,681.0,2024-08-28 15:10:27,2024-08-28 15:17:07,
HKQuantityTypeIdentifierStepCount,225.0,2024-08-28 15:31:31,2024-08-28 15:40:50,
HKQuantityTypeIdentifierStepCount,245.0,2024-08-28 15:41:44,2024-08-28 15:45:46,
HKQuantityTypeIdentifierStepCount,123.0,2024-08-28 15:45:46,2024-08-28 15:51:16,
HKQuantityTypeIdentifierStepCount,46.0,2024-08-28 16:05:38,2024-08-28 16:12:05,
HKQuantityTypeIdentifierStepCount,52.0,2024-08-28 16:44:39,2024-08-28 16:45:30,
HKQuantityTypeIdentifierStepCount,105.0,2024-08-28 16:47:34,2024-08-28 16:48:59,
HKQuantityTypeIdentifierStepCount,242.0,2024-08-28 17:44:32,2024-08-28 17:47:35,
HKQuantityTypeIdentifierStepCount,448.0,2024-08-28 17:47:37,2024-08-28 17:54:37,
HKQuantityTypeIdentifierStepCount,266.0,2024-08-28 18:09:09,2024-08-28 18:18:10,
HKQuantityTypeIdentifierStepCount,766.0,2024-08-28 18:22:51,2024-08-28 18:32:52,
HKQuantityTypeIdentifierStepCount,825.0,2024-08-28 18:32:52,2024-08-28 18:41:17,
HKQuantityTypeIdentifierStepCount,548.0,2024-08-28 19:13:01,2024-08-28 19:18:42,
HKQuantityTypeIdentifierStepCount,135.0,2024-08-28 19:34:56,2024-08-28 19:44:27,
HKQuantityTypeIdentifierStepCount,900.0,2024-08-28 19:45:22,2024-08-28 19:54:54,
HKQuantityTypeIdentifierStepCount,174.0,2024-08-28 19:55:35,2024-08-28 19:57:47,
HKQuantityTypeIdentifierStepCount,418.0,2024-08-28 20:02:22,2024-08-28 20:07:14,
HKQuantityTypeIdentifierStepCount,608.0,2024-08-28 20:07:16,2024-08-28 20:15:16,
HKQuantityTypeIdentifierStepCount,192.0,2024-08-28 20:15:52,2024-08-28 20:22:34,
HKQuantityTypeIdentifierStepCount,654.0,2024-08-28 20:26:54,2024-08-28 20:35:43,
HKQuantityTypeIdentifierStepCount,71.0,2024-08-28 20:47:44,2024-08-28 20:49:15,
HKQuantityTypeIdentifierStepCount,105.0,2024-08-28 20:59:07,2024-08-28 21:03:51,
HKQuantityTypeIdentifierStepCount,74.0,2024-08-28 21:28:37,2024-08-28 21:29:21,
HKQuantityTypeIdentifierStepCount,79.0,2024-08-28 21:48:41,2024-08-28 21:49:53,
HKQuantityTypeIdentifierStepCount,54.0,2024-08-28 22:12:44,2024-08-28 22:14:25,
HKQuantityTypeIdentifierStepCount,114.0,2024-08-28 22:54:20,2024-08-28 22:58:48,
HKQuantityTypeIdentifierStepCount,10.0,2024-08-28 23:13:44,2024-08-28 23:13:47,
HKQuantityTypeIdentifierStepCount,3.0,2024-08-28 23:46:43,2024-08-28 23:46:45,
HKQuantityTypeIdentifierStepCount,31.0,2024-08-29 00:16:19,2024-08-29 00:20:08,
HKQuantityTypeIdentifierStepCount,24.0,2024-08-29 02:14:10,2024-08-29 02:14:17,
HKQuantityTypeIdentifierStepCount,37.0,2024-08-29 12:03:24,2024-08-29 12:04:13,
HKQuantityTypeIdentifierStepCount,25.0,2024-08-29 12:38:25,2024-08-29 12:38:48,
